Count,LabelObj,O1,P1
8,8,88,2.513
9,9,0,0
10,10,0,0
11,11,0,0
12,12,93,36.15
13,13,61,65.821
14,14,52,24.413
15,15,255,0.372
16,16,0,0
17,17,153,65.929
18,255,105,4.673
1,1,1,90.169
2,2,5,41.973
3,3,12,12.308
4,4,0,0
5,5,0,0
6,6,0,0
7,7,68,20
8,8,69,82.877
9,9,76,53.043
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,32,93.28
15,15,80,8.656
16,16,110,87.225
17,17,148,0.885
18,18,82,49.858
19,19,129,1.439
20,20,12,26.603
21,21,49,98.457
22,22,47,92.905
23,23,77,56.303
24,24,11,8.571
25,25,216,21.739
26,26,127,57.097
27,27,146,65.179
28,28,190,64.015
29,29,0,0
30,30,178,93.437
31,31,0,0
32,32,97,94.515
33,255,47,3.784
1,1,2,63.636
2,2,12,95.164
3,3,29,99.085
4,4,53,12.719
5,5,0,0
6,6,17,43.643
7,7,130,86.294
8,8,70,98.824
9,9,170,35.692
10,10,73,96.692
11,11,70,75.207
12,12,0,0
13,13,202,62.857
14,255,73,8.072
1,1,72,97.091
2,2,7,94.845
3,255,72,39.13
1,1,53,74.415
2,2,62,29.652
3,3,113,92.373
4,4,19,98.045
5,5,131,81.092
6,6,61,99.491
7,7,29,90
8,8,233,79.365
9,9,64,91.228
10,255,64,12.687
1,1,4,55.532
2,2,3,100
3,3,44,90.365
4,4,157,91.206
5,5,100,98.625
6,6,10,99.095
7,255,100,19.318
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,17,33.918
6,6,0,0
7,7,35,9.623
8,8,34,72.906
9,9,44,40.281
10,10,43,27.527
11,11,143,7.225
12,12,74,30.531
13,13,0,0
14,14,81,4.819
15,15,82,3.636
16,16,82,6.885
17,17,9,94.595
18,18,0,0
19,19,50,99.261
20,20,93,49.545
21,21,40,94.096
22,22,0,0
23,23,165,34.731
24,24,26,24.615
25,25,1,89.673
26,26,168,72.324
27,27,0,0
28,28,99,81.871
29,29,79,88.843
30,30,5,85.861
31,31,164,6.776
32,32,71,90.047
33,33,18,1.562
34,34,58,2.912
35,35,0,0
36,36,0,0
37,37,0,0
38,38,123,13.262
39,255,79,3.497
1,1,3,15.333
2,2,4,39.684
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,24,88.928
10,10,28,22.268
11,11,48,7.167
12,12,51,29.27
13,13,16,18.194
14,14,17,77.593
15,15,0,0
16,16,10,76.519
17,17,0,0
18,18,0,0
19,19,0,0
20,20,25,1.86
21,21,43,28.794
22,22,44,19.66
23,23,0,0
24,24,0,0
25,25,60,61.921
26,26,0,0
27,27,0,0
28,28,0,0
29,29,255,1.302
30,30,83,82.902
31,31,0,0
32,32,0,0
33,33,119,79.352
34,34,46,29.205
35,35,45,75.41
36,36,102,38.809
37,37,0,0
38,38,135,5
39,39,0,0
40,40,111,25
41,41,0,0
42,42,0,0
43,43,148,14.576
44,44,0,0
45,45,0,0
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
50,50,75,0.448
51,51,136,6.794
52,52,0,0
53,53,24,82.203
54,54,0,0
55,55,0,0
56,56,0,0
57,57,0,0
58,58,158,31.159
59,59,0,0
60,60,0,0
61,61,0,0
62,62,0,0
63,63,141,3.03
64,64,0,0
65,255,24,2.811
1,1,1,31.398
2,2,3,18.258
3,3,6,71.186
4,4,27,41.314
5,5,47,71.987
6,6,23,49.197
7,7,62,55.58
8,8,30,87.879
9,9,90,7.296
10,10,46,69.241
11,11,82,90.984
12,12,0,0
13,13,89,79.695
14,14,145,30.769
15,15,148,84.452
16,16,72,99.638
17,17,146,98.465
18,18,27,76.025
19,19,74,19.913
20,20,0,0
21,21,0,0
22,255,72,6.323
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,1,59.898
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,2,49.139
13,13,4,15.412
14,14,0,0
15,15,0,0
16,16,5,59.966
17,17,3,22.606
18,18,0,0
19,19,0,0
20,20,0,0
21,21,6,53.39
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,8,57.675
34,34,0,0
35,35,0,0
36,36,9,22.53
37,37,0,0
38,38,7,41.379
39,39,0,0
40,40,0,0
41,41,0,0
42,42,0,0
43,43,0,0
44,44,0,0
45,45,0,0
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
50,255,255,1.82
1,1,73,46.664
2,2,39,70
3,3,20,100
4,4,72,5.047
5,5,255,1.99
6,6,0,0
7,7,50,21.088
8,8,2,99.576
9,9,0,0
10,10,15,99.291
11,11,143,23.384
12,12,22,100
13,13,197,93.133
14,14,242,73.432
15,255,15,10.081
1,1,3,46.927
2,2,0,0
3,3,179,15.789
4,4,4,24.944
5,5,120,64.159
6,6,24,15.506
7,7,74,94.602
8,8,0,0
9,9,250,25.352
10,255,179,9.701
1,1,0,0
2,2,0,0
3,3,10,48.969
4,4,43,14.732
5,5,166,5.285
6,6,0,0
7,7,122,38.249
8,255,43,7.071
1,1,2,70.877
2,2,4,19.008
3,3,7,41.818
4,4,0,0
5,5,25,4.563
6,6,0,0
7,7,40,60.429
8,8,38,97.813
9,9,42,2.957
10,10,92,4.011
11,11,51,10.156
12,12,66,7.645
13,13,28,52.537
14,14,32,75.456
15,15,45,78.636
16,16,54,99.592
17,17,113,11.594
18,18,3,73.153
19,19,37,95.918
20,20,89,56.448
21,21,114,40.919
22,22,0,0
23,23,88,93.625
24,24,133,51.695
25,25,255,3.584
26,26,0,0
27,27,88,95.402
28,28,131,62.775
29,255,88,6.329
1,1,72,100
2,2,45,45.884
3,255,45,60.87
1,1,33,13.706
2,255,0,0
1,1,50,9.957
2,255,0,0
1,1,61,0.141
2,2,22,80
3,3,41,74.812
4,4,52,38.199
5,5,157,13.659
6,6,41,82.511
7,7,111,86.932
8,8,112,78.214
9,9,17,100
10,10,203,91.026
11,11,56,22.827
12,12,165,84.282
13,255,56,9
1,1,18,74.934
2,2,22,28.87
3,3,39,92.575
4,4,44,3.83
5,5,0,0
6,6,59,66.165
7,7,87,93.991
8,8,103,24.824
9,9,126,6.089
10,10,56,81.858
11,255,59,11.321
1,1,0,0
2,2,0,0
3,3,3,84.337
4,4,91,41.991
5,5,129,52.059
6,6,57,95.735
7,7,127,35.764
8,8,52,21.795
9,9,119,2.294
10,10,0,0
11,11,58,47.887
12,255,3,7.558
1,1,0,0
2,2,21,62.791
