Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
16,20.902,71.827,259,259,1384147,5344.197,833.264,5026,4509,7738,687.985,644.355,1.351,1.811,0.829,1.719,688.286,643.957,1.364,681,635,1,15,23,2
17,41.804,124.478,518,478,2853007,5507.735,834.25,5373.5,4505,9145,496.963,665.521,2.301,2.138,0.867,2,497.05,665.327,2.302,488,655,1,24,26,4
18,32.442,84.85,402,369,2504131,6229.182,1140.423,6082,4518,8673,528.741,669.122,2.012,1.788,0.551,1.777,528.712,669.151,2.007,520,662,1,20,15,3
19,18.319,57.888,227,221,1472149,6485.238,1463.389,6392,4501,10961,384.736,701.894,1.357,1.494,0.626,1.426,384.551,701.84,1.373,378,696,1,18,15,3
20,34.863,113.6,432,414,2303230,5331.551,809.717,5061.5,4501,8865,577.268,710.53,1.963,2.592,0.955,2.54,577.258,710.641,1.925,564,697,1,24,30,3
21,256.148,522.578,3174,2177,24853044,7830.197,3416.398,6668,4502,22298,625.125,730.223,5.277,4.781,2.125,4.566,625.727,728.726,5.535,589,700,1,66,57,9
22,19.449,60.67,241,222,1643900,6821.162,2729.574,5520,4505,15227,384.245,740.942,1.776,1.482,0.499,1.467,384.745,741.518,1.775,376,734,1,15,15,3
23,20.498,70.787,254,229,1516239,5969.445,1332.079,5573,4506,10474,593.283,742.756,2.232,1.589,0.585,1.598,593.489,742.6,2.197,586,735,1,15,19,4
24,21.709,78.741,269,253,1415225,5261.06,612.064,5117,4511,7604,311.491,99.866,2.859,1.804,0.71,1.77,311.298,99.939,2.887,301,95,2,23,11,4
25,30.263,88.839,375,332,2025228,5400.608,686.463,5286,4508,7283,281.432,131.763,3.576,1.752,0.583,1.699,281.529,131.846,3.597,271,123,2,18,18,4
26,40.512,136.636,502,502,2844124,5665.585,975.895,5368,4500,8374,373.851,311.861,2.805,2.581,0.811,2.612,373.402,311.916,2.8,360,301,2,32,23,3
27,38.414,127.648,476,421,2500271,5252.67,699.586,5045,4506,7589,342.103,516.517,3.05,2.161,0.775,2.144,342.212,516.711,3.068,332,504,2,18,28,4
28,21.951,80.621,272,272,1541910,5668.787,969.165,5479,4505,8929,322.283,568.985,2.643,2.422,0.966,2.365,322.746,569.357,2.613,313,554,2,22,25,2
29,28.649,86.703,355,333,1957619,5514.42,932.216,5284,4500,8454,50.09,594.113,3.09,1.881,0.786,1.758,50.215,594.075,3.097,41,582,2,19,22,3
30,28.811,97.866,357,357,1963462,5499.894,716.51,5423,4510,7369,436.563,634.401,3.017,2.56,1.274,2.446,436.428,634.469,3.001,429,616,2,17,37,3
31,50.116,152.821,621,539,3575332,5757.378,1358.725,5424,4504,12033,334.891,634.53,4.242,2.756,1.366,2.462,334.663,634.007,4.163,323,622,2,33,27,6
32,32.684,102.895,405,376,2635745,6508.012,2206.343,5683,4509,15355,113.975,690.556,3.356,2.278,0.879,2.212,113.76,690.317,3.284,107,678,2,19,26,4
33,48.502,154.694,601,554,3752476,6243.721,1911.403,5499,4511,14101,216.829,687.904,3.802,2.619,0.985,2.663,216.573,688.049,3.722,206,671,2,24,34,5
