Count,LabelObj,O1,P1
16,16,38,100
17,17,126,100
18,255,31,14.019
1,1,4,100
2,2,6,73.888
3,3,6,8.654
4,4,30,72.768
5,5,36,91.053
6,6,52,98.206
7,7,45,77.079
8,8,45,93.836
9,9,45,12.464
10,10,45,93.796
11,11,45,72.174
12,12,45,93.625
13,13,0,0
14,14,28,100
15,15,45,34.624
16,16,68,99.588
17,17,45,100
18,18,45,23.58
19,19,45,97.122
20,20,6,11.579
21,21,92,100
22,22,47,100
23,23,45,100
24,24,0,0
25,25,82,69.87
26,26,45,47.258
27,27,142,92.411
28,28,169,100
29,29,72,100
30,30,105,99.631
31,31,45,100
32,32,181,100
33,255,45,15.405
1,1,1,100
2,2,14,97.409
3,3,34,100
4,4,55,100
5,5,12,100
6,6,23,99.431
7,7,100,98.985
8,8,122,98.992
9,9,21,100
10,10,68,99.338
11,11,173,98.017
12,12,125,3.383
13,13,151,97.551
14,255,68,11.211
1,1,71,100
2,2,9,100
3,255,71,39.13
1,1,15,99.554
2,2,16,100
3,3,31,99.435
4,4,51,97.765
5,5,53,97.899
6,6,41,99.927
7,7,10,100
8,8,23,100
9,9,100,100
10,255,255,13.433
1,1,2,98.723
2,2,1,100
3,3,12,100
4,4,44,97.632
5,5,51,99.828
6,6,61,100
7,255,255,34.091
1,1,1,100
2,2,2,98.971
3,3,2,96.875
4,4,11,96.212
5,5,0,0
6,6,0,0
7,7,21,24.686
8,8,24,95.544
9,9,27,99.361
10,10,26,91.961
11,11,38,39.017
12,12,0,0
13,13,41,99.138
14,14,0,0
15,15,0,0
16,16,0,0
17,17,10,95.842
18,18,0,0
19,19,47,99.015
20,20,0,0
21,21,65,83.026
22,22,0,0
23,23,104,99.102
24,24,88,47.521
25,25,81,97.366
26,26,105,98.172
27,27,0,0
28,28,128,99.61
29,29,118,92.938
30,30,121,100
31,31,123,75.701
32,32,50,78.673
33,33,140,52.455
34,34,0,0
35,35,255,3.606
36,36,117,25.795
37,37,131,78.838
38,38,135,54.122
39,255,255,6.23
1,1,1,97.167
2,2,0,0
3,3,0,0
4,4,0,0
5,5,4,33.977
6,6,0,0
7,7,0,0
8,8,0,0
9,9,10,89.282
10,10,11,88.866
11,11,32,27.324
12,12,16,87.191
13,13,7,17.014
14,14,6,85.201
15,15,23,85.714
16,16,14,100
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,29,96.498
22,22,27,67.476
23,23,41,80.543
24,24,0,0
25,25,0,0
26,26,39,95.582
27,27,86,90.476
28,28,0,0
29,29,0,0
30,30,46,73.264
31,31,50,47.982
32,32,51,64.762
33,33,0,0
34,34,57,53.058
35,35,58,99.672
36,36,59,95.848
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,41,0,0
42,42,0,0
43,43,88,98.644
44,44,108,89.92
45,45,126,34.541
46,46,115,90.045
47,47,0,0
48,48,0,0
49,49,0,0
50,50,0,0
51,51,0,0
52,52,0,0
53,53,10,3.39
54,54,0,0
55,55,0,0
56,56,0,0
57,57,0,0
58,58,150,64.229
59,59,130,79.116
60,60,0,0
61,61,0,0
62,62,151,30.972
63,63,165,16.288
64,64,119,60.627
65,255,255,6.77
1,1,3,100
2,2,52,4.213
3,3,6,91.864
4,4,33,18.175
5,5,46,98.122
6,6,22,96.185
7,7,20,91.964
8,8,64,100
9,9,35,44.635
10,10,140,5.405
11,11,71,98.77
12,12,0,0
13,13,79,98.308
14,14,1,29.586
15,15,115,100
16,16,100,97.464
17,17,1,100
18,18,18,100
19,19,122,100
20,20,0,0
21,21,131,99.485
22,255,100,6.323
1,1,0,0
2,2,0,0
3,3,0,0
4,4,1,97.18
5,5,2,99.214
6,6,3,97.873
7,7,26,1.955
8,8,0,0
9,9,4,98.596
10,10,5,98.472
11,11,0,0
12,12,6,68.624
13,13,8,97.387
14,14,0,0
15,15,0,0
16,16,14,99.828
17,17,16,99.215
18,18,27,72.593
19,19,10,93.139
20,20,19,89.926
21,21,20,97.053
22,22,21,98.039
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,17,96.154
31,31,30,100
32,32,0,0
33,33,40,91.038
34,34,35,95.188
35,35,33,69.35
36,36,45,93.855
37,37,0,0
38,38,31,96.552
39,39,36,89.604
40,40,32,97.701
41,41,38,95.474
42,42,39,100
43,43,0,0
44,44,41,88.119
45,45,46,92.946
46,46,0,0
47,47,47,94.832
48,48,0,0
49,49,0,0
50,255,255,12.816
1,1,255,0.221
2,2,22,100
3,3,11,100
4,4,0,0
5,5,87,100
6,6,0,0
7,7,25,51.701
8,8,63,100
9,9,0,0
10,10,9,100
11,11,183,1.993
12,12,47,100
13,13,48,100
14,14,27,100
15,255,27,10.081
1,1,8,99.162
2,2,69,100
3,3,157,1.27
4,4,88,96.18
5,5,66,100
6,6,0,0
7,7,114,100
8,8,198,0.768
9,9,143,100
10,255,88,10.448
1,1,1,100
2,2,9,96.774
3,3,20,97.868
4,4,36,100
5,5,121,88.372
6,6,55,100
7,7,54,95.853
8,255,55,18.182
1,1,2,100
2,2,3,43.121
3,3,5,98.442
4,4,16,99.74
5,5,0,0
6,6,21,83.01
7,7,24,98.246
8,8,23,97.813
9,9,0,0
10,10,0,0
11,11,0,0
12,12,29,97.314
13,13,62,29.228
14,14,39,96.957
15,15,25,79.545
16,16,27,100
17,17,0,0
18,18,46,100
19,19,42,98.251
20,20,43,49.603
21,21,0,0
22,22,50,98.438
23,23,41,93.625
24,24,64,100
25,25,63,94.265
26,26,0,0
27,27,41,100
28,28,92,99.339
29,255,255,10.127
1,1,32,100
2,2,70,0.221
3,255,32,39.13
1,1,0,0
2,255,0,0
1,1,20,0.866
2,255,0,0
1,1,0,0
2,2,7,99.365
3,3,14,95.113
4,4,124,0.458
5,5,0,0
6,6,14,100
7,7,62,99.811
8,8,43,97.97
9,9,82,100
10,10,130,99.487
11,11,0,0
12,12,148,100
13,255,14,13.5
1,1,19,100
2,2,24,18.575
3,3,42,99.605
4,4,46,100
5,5,68,30.664
6,6,62,79.248
7,7,63,100
8,8,48,15.531
9,9,151,1.439
10,10,190,100
11,255,190,12.579
1,1,15,100
2,2,35,100
3,3,97,97.992
4,4,95,98.701
5,5,131,99.412
6,6,66,100
7,7,130,98.958
8,8,65,100
9,9,0,0
10,10,143,1.288
11,11,115,100
12,255,255,11.047
1,1,11,21.575
2,2,10,100
3,3,0,0
4,4,0,0
5,5,0,0
6,6,66,95.595
7,7,22,97.118
8,255,66,18.182
1,1,0,0
2,2,41,18.647
3,3,77,100
4,4,98,100
5,5,38,96.678
6,6,41,49.37
7,7,0,0
8,255,41,18.182
1,1,28,94.264
2,2,28,33.945
3,3,42,94.186
4,4,0,0
5,5,49,100
6,6,0,0
7,7,0,0
8,8,53,100
9,9,57,93.728
10,10,0,0
11,11,66,95.152
12,12,84,97.536
13,255,255,9
1,1,48,0.147
2,2,30,33.48
3,255,30,39.13
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
1,1,42,98.559
2,255,255,88.889
,,1,0
1,1,0,0
2,255,0,0
1,1,19,100
2,2,35,97.071
3,3,36,15.025
4,4,33,90.952
5,5,43,62.629
6,6,81,52.244
7,7,83,61.369
8,8,0,0
9,9,87,48.817
10,10,117,18.431
11,11,92,99.074
12,12,95,76.923
13,13,54,96.78
14,14,0,0
15,15,0,0
16,16,96,97.465
17,17,79,47.268
18,18,90,97.747
19,19,102,28.029
20,20,103,73.82
21,21,54,79.051
22,22,47,100
23,23,90,100
24,255,90,10.766
1,1,10,100
2,2,3,99.269
3,3,158,32.314
4,4,0,0
5,5,156,72.17
6,255,3,12.857
1,1,4,97.487
2,2,7,99.482
3,3,11,97.3
4,4,31,51.498
5,5,0,0
6,6,25,98.807
7,7,33,98.904
8,8,39,100
9,9,48,88.53
10,10,32,100
11,11,55,20.553
12,12,0,0
13,13,65,93.713
14,14,0,0
15,15,79,98.23
16,16,56,100
17,17,56,86.747
18,18,67,96.175
19,19,0,0
20,20,21,2.86
21,21,0,0
22,22,0,0
23,23,109,74
24,24,128,100
25,25,128,100
26,26,162,99.641
27,27,146,95.611
28,28,150,100
29,29,122,97.905
30,30,0,0
31,255,255,6.772
1,1,7,33.561
2,2,1,42.014
3,3,0,0
4,4,19,72.062
5,5,46,10.765
6,6,0,0
7,7,0,0
8,8,0,0
9,9,45,25
10,10,12,5.42
11,11,24,82.061
12,12,21,6.604
13,13,35,97.217
14,14,52,98.113
15,15,53,96.714
16,16,30,100
17,17,31,98.699
18,18,53,93.634
19,19,80,97.252
20,20,82,96.529
21,255,255,8.911
1,1,6,97.557
2,2,27,94.395
3,3,0,0
4,4,66,78.86
5,5,87,97.172
6,6,88,36.047
7,7,65,92.339
8,8,147,89.432
9,9,120,85.268
10,10,215,44.422
11,11,197,98.911
12,255,255,11.299
