Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
21,67.305,174.755,834,789,7577502,9085.733,3249.343,7905,5562,21119,385.715,285.14,1.791,2.636,1.158,2.527,385.128,285.173,1.71,369,268,1,29,31,3
22,811.78,1284.369,10059,5481,110539936,10989.157,5870.288,8851,5563,37509,556.538,310.321,5.837,8.782,3.965,8.7,556.482,309.814,5.899,509,265,1,104,98,10
23,22.919,85.223,284,275,2000832,7045.183,1151.103,6696,5581,10243,166.694,298.989,2.775,1.987,0.656,2.03,166.932,298.938,2.81,156,292,1,19,16,6
24,25.986,78.315,322,300,2360147,7329.649,1345.321,6954.5,5567,10823,391.441,309.196,1.602,1.787,0.682,1.745,391.237,309.137,1.556,385,301,1,19,18,3
25,112.095,261.197,1389,1007,14082798,10138.804,4293.123,8739,5567,23878,205.5,316.486,2.729,3.075,1.123,2.971,205.145,316.124,2.525,187,303,1,38,35,7
26,538.12,1010.144,6668,4299,61687928,9251.339,3588.518,8197,5561,29904,250.163,329.813,5.31,6.048,2.256,6.003,250.574,329.64,5.255,222,292,1,56,75,11
27,18.481,64.008,229,193,1703874,7440.498,1939.792,6923,5561,14558,408.515,327.886,3.031,1.557,0.484,1.454,408.403,327.731,3.025,403,322,1,15,13,5
28,21.87,70.322,271,234,1925585,7105.479,1204.522,6889,5570,10199,362.188,334.849,2.38,1.664,0.552,1.724,362.157,334.687,2.348,354,327,1,15,16,4
29,16.544,53.542,205,189,1962799,9574.629,4224.208,7812,5567,19600,427.922,351.093,1.615,1.373,0.454,1.35,428.468,350.78,1.57,421,346,1,15,14,3
30,44.547,133.046,552,477,4007723,7260.368,1534.801,6726.5,5562,12544,459.063,363.975,2.543,2.489,1.039,2.376,459.069,363.741,2.587,450,353,1,18,30,4
31,143.407,245.168,1777,1454,20714890,11657.226,4269.918,11359,5573,22467,289.568,382.906,1.747,3.136,1.008,3.135,289.819,383.1,1.634,271,366,1,36,38,4
32,364.45,587.22,4516,2690,49236772,10902.739,4407.881,9848.5,5562,29922,572.14,381.584,4.171,4.801,1.68,4.723,571.457,380.676,4.061,546,354,1,51,51,8
33,384.706,810.131,4767,3444,44148308,9261.235,4338.57,7678,5561,38787,372.849,394.732,4.031,5.788,2.642,5.301,373.025,393.731,4.101,331,360,1,90,56,9
34,29.618,73.996,367,343,3807140,10373.679,3781.586,9607,5578,18899,117.24,401.668,1.526,1.583,0.489,1.624,117.332,401.635,1.435,109,394,1,17,16,3
35,858.668,1659.783,10640,7378,112437480,10567.433,5404.291,8448.5,5561,34569,455.137,434.538,4.402,9.53,3.682,9.1,451.36,433.266,3.812,398,377,1,106,106,10
36,17.593,64.815,218,191,1652873,7581.986,1876.25,7019.5,5562,13900,315.495,425.472,1.867,1.678,0.637,1.801,315.706,425.567,1.859,308,418,1,16,17,3
37,599.373,1123.51,7427,5404,67806752,9129.764,3373.481,8133,5561,29623,252.357,436.88,5.295,7.488,2.489,7.576,253.494,435.859,5.361,213,400,1,84,94,10
38,176.334,405.586,2185,1595,19930964,9121.723,3566.501,7833,5561,21746,509.886,421.369,5.143,4.759,2.386,4.284,510.006,422.095,4.959,478,402,1,67,40,10
39,293.271,586.906,3634,2283,34128576,9391.463,3685.245,8272,5561,25790,315.551,492.647,6.647,4.563,1.369,4.552,316.04,492.491,6.871,295,463,1,38,52,11
40,3928.566,6783.366,48680,30215,527065312,10827.143,5459.871,9032,5561,44974,547.988,552.122,7.199,20.029,8.646,20.214,551.013,553.124,7.098,420,459,1,240,190,12
41,50.439,117.783,625,450,6146164,9833.862,4277.484,8404,5567,22827,364.568,529.92,2.986,2.061,0.516,2.083,365.324,529.837,3.014,353,522,1,22,18,5
42,621.808,1144.711,7705,5191,87812208,11396.782,5880.222,9299,5561,40525,380.001,589.461,6.643,6.97,2.844,6.765,381.043,590.499,6.649,341,535,1,74,92,12
43,1324.318,2325.301,16410,10318,159835840,9740.148,4520.539,8254,5561,33472,482.653,572.474,5.288,9.71,3.274,9.779,482.597,571.98,5.288,424,519,1,116,106,12
44,81.267,165.605,1007,741,11342551,11263.705,4277.13,10301,5564,22098,83.892,571.931,2.083,2.869,1.18,2.731,83.915,571.934,2.012,73,557,1,26,34,4
45,272.449,524.872,3376,2302,36357240,10769.324,6095.856,7953,5562,38424,263.486,555.949,7.36,4.709,1.874,4.782,261.531,553.813,7.809,243,534,1,47,52,12
46,126.863,222.911,1572,1015,21680558,13791.703,7418.692,10984,5568,33171,311.575,588.028,2.538,3.126,1.192,2.929,311.117,588.152,2.361,295,572,1,39,34,4
47,563.218,789.185,6979,3710,69502480,9958.802,4029.971,8577,5561,26472,206.77,623.134,6.379,5.379,1.782,5.162,206.401,622.462,6.667,190,595,1,40,67,11
48,833.731,1461.676,10331,6724,96245800,9316.213,3665.991,8147,5561,29434,352.461,697.121,8.513,9.37,3.986,8.867,352.709,697.354,8.528,300,661,1,104,96,13
49,27.439,70.303,340,292,3288175,9671.103,3388.698,8774,5588,17234,217.726,823.994,2.338,1.637,0.444,1.589,217.662,824.041,2.386,208,819,1,20,11,4
50,70.372,190.152,872,745,8456842,9698.213,4119.67,8130,5586,23167,209.226,873.956,3.28,3.607,1.496,3.479,209.057,874.308,3.253,185,862,1,48,22,6
51,36.074,120.114,447,437,3177962,7109.535,1601.869,6475,5572,12327,462.857,931.933,2.322,3.079,1.272,2.951,463.465,931.645,2.23,444,924,1,39,16,4
52,226.611,375.268,2808,1602,27002580,9616.304,2654.761,9479,5565,16553,420.501,97.176,5.559,4.037,1.386,3.881,420.614,97.336,5.614,397,78,2,49,37,8
53,21.709,64.259,269,197,2070564,7697.264,1991.216,7018,5566,13918,218.439,84.621,3.375,1.623,0.371,1.635,218.585,84.794,3.383,213,77,2,12,15,4
54,33.975,102.468,421,379,3069117,7290.064,1377.602,6931,5580,11077,356.223,100.964,3.518,2.064,0.746,2.025,356.098,100.917,3.521,349,88,2,18,26,4
55,22.032,71.898,273,273,1886211,6909.198,1217.668,6636,5570,10933,236.15,119.784,2.344,1.78,0.758,1.725,236.065,119.694,2.305,225,110,2,23,17,2
56,25.098,73.06,311,268,2820292,9068.463,2384.364,9027,5586,14790,473.495,209.904,3.203,1.617,0.449,1.549,473.409,209.795,3.174,464,202,2,18,15,4
57,259.941,418.465,3221,1949,32612136,10124.849,3579.91,9477,5564,23182,319.339,293.722,6.579,4.05,1.285,3.755,318.986,294.125,6.646,294,279,2,49,34,8
58,66.498,206.68,824,739,6335766,7689.037,2268.717,6981.5,5565,17539,413.058,295.871,5.489,3.128,1.3,3.154,412.13,295.829,5.491,394,285,2,37,23,9
59,188.197,453.494,2332,1734,19962524,8560.259,3149.433,7438,5562,22306,524.338,331.077,5.619,4.598,1.489,4.551,524.197,330.75,5.983,511,313,2,34,49,9
